,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_eta,param_gamma,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
256,1.1794751644134522,0.010688142943958112,0.012011146545410157,0.0004360133789689949,0.6,0.1,1.5,5,5,0.8,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8}",-8.603612825320422,-7.120905913739392,-8.390589677079861,-7.85501835355413,-6.977767026641196,-7.789578759267,0.6533467055248823,658
257,1.203420066833496,0.017086295443497115,0.012368011474609374,6.952220356532789e-05,0.6,0.1,1.5,5,5,1.0,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 1.0}",-8.604831650940575,-7.060210219111416,-8.458569206621643,-7.851804734355919,-6.6012045289868935,-7.715324068003289,0.7788068503420905,244
258,1.1148567199707031,0.010483137409318747,0.011932802200317384,0.00031529161609574646,0.6,0.1,1.5,5,10,0.6,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.6}",-8.285158048087188,-7.0182512616873876,-8.25480076254675,-7.773947332390177,-6.81928020424307,-7.6302875217909145,0.6118548174313895,13
259,1.1448823451995849,0.011831433860489035,0.011854410171508789,0.0002747829306373166,0.6,0.1,1.5,5,10,0.8,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.8}",-8.543150945422779,-6.971222023935563,-8.21827775199391,-8.093568467299967,-6.7177438531244755,-7.708792608355338,0.7252543567735266,208
260,1.154862928390503,0.01613803666115681,0.011740159988403321,0.00014667408673707172,0.6,0.1,1.5,5,10,1.0,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 1.0}",-8.576569345971313,-6.999768758129798,-8.318859069604628,-7.847893415059423,-7.170540371382561,-7.782726192029545,0.6180074440869909,640
261,1.5662837982177735,0.024130317715864814,0.011842632293701172,3.110045852376604e-05,0.6,0.1,1.5,7,1,0.6,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.6}",-8.637657287919799,-7.356095588160563,-8.910995005980324,-7.656772984103569,-6.863742209558934,-7.885052615144637,0.7738156955888609,1114
262,1.6014841556549073,0.015788056801885293,0.012202692031860352,0.000442545124394593,0.6,0.1,1.5,7,1,0.8,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8}",-9.1200192269487,-7.333339891391647,-8.860195190171595,-8.180656315125509,-7.204250772012093,-8.139692279129909,0.7755125283493938,1432
263,1.6020518302917481,0.023445615190919613,0.012332344055175781,0.0007118981487047124,0.6,0.1,1.5,7,1,1.0,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 1.0}",-8.707884693654561,-7.097447482033097,-8.522751948863803,-8.061043697330158,-7.35910241041853,-7.949646046460029,0.6309944274507121,1267
264,1.4736761093139648,0.004071856141697612,0.011930608749389648,0.00030136895320372216,0.6,0.1,1.5,7,5,0.6,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.6}",-9.092814750271412,-6.885455319205675,-8.509000966145754,-7.766119164125207,-6.900646741919777,-7.830807388333565,0.8735769044181,847
265,1.543370532989502,0.010874489347769786,0.01220874786376953,0.00030272522146284063,0.6,0.1,1.5,7,5,0.8,"{'colsample_bytree': 0.6, 'eta': 0.1, 'gamma': 1.5, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8}",-8.48068807309262,-6.97554921759969,-8.322593840800172,-8.276378614735806,-6.983037001818663,-7.80764934960939,0.6797399841293897,733
